"ref","date","meta","value","file_date"
"AL","2016-04-30 00:00:00","AL","3876384.9540000013","2017-10-15 08:59:50.821343"
"AL","2016-05-31 00:00:00","AL","4847922.473999994","2017-10-15 08:59:50.821343"
"AL","2016-06-30 00:00:00","AL","5953594.26","2017-10-15 08:59:50.821343"
"AL","2016-07-31 00:00:00","AL","7173735.735999999","2017-10-15 08:59:50.821343"
"AL","2016-08-31 00:00:00","AL","7066029.7059999965","2017-10-15 08:59:50.821343"
"AL","2016-09-30 00:00:00","AL","6491325.355","2017-10-15 08:59:50.821343"
"AL","2016-10-31 00:00:00","AL","5575244.833000006","2017-10-15 08:59:50.821343"
"AL","2016-11-30 00:00:00","AL","5024612.0540000005","2017-10-15 08:59:50.821343"
"AL","2016-12-31 00:00:00","AL","5260627.131000006","2017-10-15 08:59:50.821343"
"AL","2017-01-31 00:00:00","AL","4561836.986000001","2017-10-15 08:59:50.821343"
"AL","2017-02-28 00:00:00","AL","4425687.771000001","2017-10-15 08:59:50.821343"
"AL","2017-03-31 00:00:00","AL","4963766.202999996","2017-10-15 08:59:50.821343"
"AL","2017-04-30 00:00:00","AL","4591517.666000002","2017-10-15 08:59:50.821343"
"AL","2017-05-31 00:00:00","AL","5069670.726000002","2017-10-15 08:59:50.821343"
"AL","2017-06-30 00:00:00","AL","5424402.203999997","2017-10-15 08:59:50.821343"
"AL","2016-04-30 00:00:00","AL","3876384.954000001","2017-10-14 23:50:37.233369"
"AL","2016-05-31 00:00:00","AL","4847922.473999994","2017-10-14 23:50:37.233369"
"AL","2016-06-30 00:00:00","AL","5953594.26","2017-10-14 23:50:37.233369"
"AL","2016-07-31 00:00:00","AL","7173735.735999999","2017-10-14 23:50:37.233369"
"AL","2016-08-31 00:00:00","AL","7066029.7059999965","2017-10-14 23:50:37.233369"
"AL","2016-09-30 00:00:00","AL","6491325.355","2017-10-14 23:50:37.233369"
"AL","2016-10-31 00:00:00","AL","5575244.833000006","2017-10-14 23:50:37.233369"
"AL","2016-11-30 00:00:00","AL","5024612.0540000005","2017-10-14 23:50:37.233369"
"AL","2016-12-31 00:00:00","AL","5260627.131000007","2017-10-14 23:50:37.233369"
"AL","2017-01-31 00:00:00","AL","4561836.986000001","2017-10-14 23:50:37.233369"
"AL","2017-02-28 00:00:00","AL","4425687.771000002","2017-10-14 23:50:37.233369"
"AL","2017-03-31 00:00:00","AL","4963766.202999996","2017-10-14 23:50:37.233369"
"AL","2017-04-30 00:00:00","AL","4591517.666000002","2017-10-14 23:50:37.233369"
"AL","2017-05-31 00:00:00","AL","5069670.726000002","2017-10-14 23:50:37.233369"
"AL","2017-06-30 00:00:00","AL","5424402.203999997","2017-10-14 23:50:37.233369"
